first_appeared_in_issue,name,origin,publisher
The Last Giant Nazi Robot Story!,Ernie,Human,DC Comics
Carlton Canary,Oswin,Human,DC Comics
Negative Feedback; On the Road; The Unkindest Cut,Deena Walker,Human,DC Comics
Negative Feedback; On the Road; The Unkindest Cut,Dexter DeFarge,Human,DC Comics
Havoc Unleashed; Scent of Fear; Flight; Ascent into the Abyss,Vajra,Human,DC Comics
I... Vampire!; An Exercise in Fear; Special Defects,Dmitri Mishkin,Other,DC Comics
Ghosts in the Machine Part 1 Boyz Be Bad,Praxis,Human,DC Comics
Carlton Canary,Prince Gavyn,Alien,DC Comics
,Stonewall Jackson,Human,Non-Fictional
Earth's First and Last Super-Hero!,Ultraa,Alien,DC Comics
Old Friends,Mr. Hawkes,Human,DC Comics
Corporate Maneuvers (and leveraged buyouts),Hardline,Human,DC Comics
Lifeboat,Wally Tortollini,Human,DC Comics
Furballs!,Claire Montgomery,Human,DC Comics
,Sable,Human,Non-Fictional
,Chris Rock,Human,Non-Fictional
The Comic Adaption,Blair Witch,Other,Oni Press
,Al Roker,Human,Non-Fictional
,Jewel,Human,Non-Fictional
,Hannibal Lecter,Human,St. Martin's Press
Special Edition,Dr. Evil,Human,Unknown Publisher
Bigger 'N' Better!; Bunny Bleu's Ride!,Ron Jeremy,Human,Non-Fictional
I... Vampire!; An Exercise in Fear; Special Defects,Deborah Dancer,Other,DC Comics
,Kate Moss,Human,Non-Fictional
Soft War: Chapter 1,Jack Marshall,Human,DC Comics
Halloween,Dean Collins,Human,Disney
The Super-Brain of Adam Strange! / Amazing Thefts of the I.Q. Gang!,Ira Quimby,Human,DC Comics
Born Again,Maxwell Lord,Human,DC Comics
,Alanis Morrisette,Human,Non-Fictional
,Stan,Human,Comedy Central
,Kyle,Human,Comedy Central
,Kenny,Human,Comedy Central
issue 80,Cartman,Human,Comedy Central
,Jesse Ventura,Human,Non-Fictional
,Celine Dion,Human,Non-Fictional
,Jenny McCarthy,Human,Non-Fictional
,Jerry Springer,Human,Non-Fictional
,Bj̦rk,Human,Non-Fictional
Threads!,Garth McGarth,Human,DC Comics
...A Walk on the Darkside!,Molly,Human,DC Comics
Threads!,Andrew Draper,Human,DC Comics
,Ric Flair,Human,Non-Fictional
The Mind Killers,Bushmaster,Human,DC Comics
The Man Who Collected Villains!; One of our Barbarians is Missing,Wild Huntsman,Human,DC Comics
Batman--King of the World,Silver Sorceress,Human,DC Comics
,Spellvis,Human,Antarctic Press
Crime Syndicate-X,T-Hawk,Human,Antarctic Press
Crime Syndicate-X,Tirant,Human,Antarctic Press
,Alexander Torus,Human,Antarctic Press
Bialya Blues,Hozzin,Human,DC Comics
Hitchhiker's Guide to the Lost Cities Part II,Tyr,Other,Antarctic Press
Men in Blecch!,Ghostface,Human,Unknown Publisher
Supermans Secret Kingdom,Clock King,Human,DC Comics
The Cluemaster's Topsy-Turvy Crimes!,Cluemaster,Human,DC Comics
